time,velocity
0, 0.159660
0.01,0.275651
0.02,0.361402
0.03,0.45403
0.04,0.557865
0.05,0.676202
0.06,0.803508
0.07,0.924641
0.08,1.02352
0.09,1.09336
0.1,1.13867
0.11,1.16724
0.12,1.18136
0.13,1.17804
0.14,1.15609
0.15,1.12117
0.16,1.08328
0.17,1.04978
0.18,1.0207
0.19,0.990792
0.2,0.95553
0.21,0.91491
0.22,0.871981
0.23,0.828489
0.24,0.782982
0.25,0.73318
0.26,0.679001
0.27,0.622033
0.28,0.562316
0.29,0.497426
0.3,0.426139
0.31,0.352102
0.32,0.282642
0.33,0.223953
0.34,0.178241
0.35,0.145213
0.36,0.123241
0.37,0.108378
0.38,0.0970748
0.39,0.0897427
0.4,0.0875728
0.41,0.0894376
0.42,0.0941341
0.43,0.0998796
0.44,0.102923
0.45,0.0999785
0.46,0.0905905
0.47,0.0772823
0.48,0.0638253
0.49,0.0526544
0.5,0.0440402
0.51,0.0373727
0.52,0.0319786
0.53,0.0260582
0.54,0.018632
0.55,0.015262
0.56,0.0209126
0.57,0.0270936
0.58,0.0311752
0.59,0.0355427
0.6,0.0375868
0.61,0.0347349
0.62,0.0286768
0.63,0.0227998
0.64,0.0201425
0.65,0.022828
0.66,0.0298848
0.67,0.0390084
0.68,0.046846
0.69,0.0512056
0.7,0.0530121
0.71,0.0538853
0.72,0.0540974
0.73,0.0528488
0.74,0.0488716
0.75,0.0404652
0.76,0.0266572
0.77,0.0170349
0.78,0.017798
0.79,0.0161377
0.8,0.0386
