Time,Flowrate
0.0002,4.56E-05
0.0004,4.60E-05
0.0006,4.64E-05
0.0008,4.68E-05
0.001,4.71E-05
0.0012,4.75E-05
0.0014,4.79E-05
0.0016,4.82E-05
0.0018,4.86E-05
0.002,4.90E-05
0.0022,4.94E-05
0.0024,4.98E-05
0.0026,5.01E-05
0.0028,5.05E-05
0.003,5.09E-05
0.0032,5.13E-05
0.0034,5.17E-05
0.0036,5.21E-05
0.0038,5.24E-05
0.004,5.28E-05
0.0042,5.32E-05
0.0044,5.36E-05
0.0046,5.40E-05
0.0048,5.44E-05
0.005,5.48E-05
0.0052,5.52E-05
0.0054,5.56E-05
0.0056,5.60E-05
0.0058,5.64E-05
0.006,5.68E-05
0.0062,5.72E-05
0.0064,5.76E-05
0.0066,5.80E-05
0.0068,5.84E-05
0.007,5.88E-05
0.0072,5.92E-05
0.0074,5.96E-05
0.0076,6.00E-05
0.0078,6.04E-05
0.008,6.08E-05
0.0082,6.12E-05
0.0084,6.16E-05
0.0086,6.20E-05
0.0088,6.25E-05
0.009,6.29E-05
0.0092,6.33E-05
0.0094,6.37E-05
0.0096,6.41E-05
0.0098,6.45E-05
0.01,6.49E-05
0.0102,6.54E-05
0.0104,6.58E-05
0.0106,6.62E-05
0.0108,6.66E-05
0.011,6.70E-05
0.0112,6.75E-05
0.0114,6.79E-05
0.0116,6.83E-05
0.0118,6.87E-05
0.012,6.92E-05
0.0122,6.96E-05
0.0124,7.00E-05
0.0126,7.04E-05
0.0128,7.09E-05
0.013,7.13E-05
0.0132,7.17E-05
0.0134,7.22E-05
0.0136,7.26E-05
0.0138,7.30E-05
0.014,7.35E-05
0.0142,7.39E-05
0.0144,7.43E-05
0.0146,7.48E-05
0.0148,7.52E-05
0.015,7.56E-05
0.0152,7.61E-05
0.0154,7.65E-05
0.0156,7.69E-05
0.0158,7.74E-05
0.016,7.78E-05
0.0162,7.83E-05
0.0164,7.87E-05
0.0166,7.91E-05
0.0168,7.96E-05
0.017,8.00E-05
0.0172,8.05E-05
0.0174,8.09E-05
0.0176,8.14E-05
0.0178,8.18E-05
0.018,8.22E-05
0.0182,8.27E-05
0.0184,8.31E-05
0.0186,8.36E-05
0.0188,8.40E-05
0.019,8.45E-05
0.0192,8.49E-05
0.0194,8.54E-05
0.0196,8.58E-05
0.0198,8.63E-05
0.02,8.67E-05
0.0202,8.72E-05
0.0204,8.76E-05
0.0206,8.81E-05
0.0208,8.86E-05
0.021,8.90E-05
0.0212,8.95E-05
0.0214,8.99E-05
0.0216,9.04E-05
0.0218,9.08E-05
0.022,9.13E-05
0.0222,9.18E-05
0.0224,9.22E-05
0.0226,9.27E-05
0.0228,9.32E-05
0.023,9.36E-05
0.0232,9.41E-05
0.0234,9.46E-05
0.0236,9.50E-05
0.0238,9.55E-05
0.024,9.60E-05
0.0242,9.64E-05
0.0244,9.69E-05
0.0246,9.74E-05
0.0248,9.78E-05
0.025,9.83E-05
0.0252,9.88E-05
0.0254,9.93E-05
0.0256,9.97E-05
0.0258,1.00E-04
0.026,1.01E-04
0.0262,1.01E-04
0.0264,1.02E-04
0.0266,1.02E-04
0.0268,1.03E-04
0.027,1.03E-04
0.0272,1.04E-04
0.0274,1.04E-04
0.0276,1.05E-04
0.0278,1.05E-04
0.028,1.05E-04
0.0282,1.06E-04
0.0284,1.06E-04
0.0286,1.07E-04
0.0288,1.07E-04
0.029,1.08E-04
0.0292,1.08E-04
0.0294,1.09E-04
0.0296,1.09E-04
0.0298,1.10E-04
0.03,1.10E-04
0.0302,1.11E-04
0.0304,1.11E-04
0.0306,1.12E-04
0.0308,1.12E-04
0.031,1.13E-04
0.0312,1.13E-04
0.0314,1.14E-04
0.0316,1.14E-04
0.0318,1.15E-04
0.032,1.15E-04
0.0322,1.16E-04
0.0324,1.16E-04
0.0326,1.17E-04
0.0328,1.17E-04
0.033,1.18E-04
0.0332,1.18E-04
0.0334,1.19E-04
0.0336,1.20E-04
0.0338,1.20E-04
0.034,1.21E-04
0.0342,1.21E-04
0.0344,1.22E-04
0.0346,1.22E-04
0.0348,1.23E-04
0.035,1.23E-04
0.0352,1.24E-04
0.0354,1.24E-04
0.0356,1.25E-04
0.0358,1.25E-04
0.036,1.26E-04
0.0362,1.26E-04
0.0364,1.27E-04
0.0366,1.27E-04
0.0368,1.28E-04
0.037,1.28E-04
0.0372,1.29E-04
0.0374,1.30E-04
0.0376,1.30E-04
0.0378,1.31E-04
0.038,1.31E-04
0.0382,1.32E-04
0.0384,1.32E-04
0.0386,1.33E-04
0.0388,1.33E-04
0.039,1.34E-04
0.0392,1.34E-04
0.0394,1.35E-04
0.0396,1.36E-04
0.0398,1.36E-04
0.04,1.37E-04
0.0402,1.37E-04
0.0404,1.38E-04
0.0406,1.38E-04
0.0408,1.39E-04
0.041,1.39E-04
0.0412,1.40E-04
0.0414,1.41E-04
0.0416,1.41E-04
0.0418,1.42E-04
0.042,1.42E-04
0.0422,1.43E-04
0.0424,1.43E-04
0.0426,1.44E-04
0.0428,1.45E-04
0.043,1.45E-04
0.0432,1.46E-04
0.0434,1.46E-04
0.0436,1.47E-04
0.0438,1.47E-04
0.044,1.48E-04
0.0442,1.49E-04
0.0444,1.49E-04
0.0446,1.50E-04
0.0448,1.50E-04
0.045,1.51E-04
0.0452,1.52E-04
0.0454,1.52E-04
0.0456,1.53E-04
0.0458,1.53E-04
0.046,1.54E-04
0.0462,1.54E-04
0.0464,1.55E-04
0.0466,1.56E-04
0.0468,1.56E-04
0.047,1.57E-04
0.0472,1.57E-04
0.0474,1.58E-04
0.0476,1.59E-04
0.0478,1.59E-04
0.048,1.60E-04
0.0482,1.60E-04
0.0484,1.61E-04
0.0486,1.62E-04
0.0488,1.62E-04
0.049,1.63E-04
0.0492,1.63E-04
0.0494,1.64E-04
0.0496,1.65E-04
0.0498,1.65E-04
0.05,1.66E-04
0.0502,1.67E-04
0.0504,1.67E-04
0.0506,1.68E-04
0.0508,1.68E-04
0.051,1.69E-04
0.0512,1.70E-04
0.0514,1.70E-04
0.0516,1.71E-04
0.0518,1.71E-04
0.052,1.72E-04
0.0522,1.73E-04
0.0524,1.73E-04
0.0526,1.74E-04
0.0528,1.74E-04
0.053,1.75E-04
0.0532,1.76E-04
0.0534,1.76E-04
0.0536,1.77E-04
0.0538,1.78E-04
0.054,1.78E-04
0.0542,1.79E-04
0.0544,1.79E-04
0.0546,1.80E-04
0.0548,1.81E-04
0.055,1.81E-04
0.0552,1.82E-04
0.0554,1.82E-04
0.0556,1.83E-04
0.0558,1.84E-04
0.056,1.84E-04
0.0562,1.85E-04
0.0564,1.86E-04
0.0566,1.86E-04
0.0568,1.87E-04
0.057,1.87E-04
0.0572,1.88E-04
0.0574,1.89E-04
0.0576,1.89E-04
0.0578,1.90E-04
0.058,1.90E-04
0.0582,1.91E-04
0.0584,1.92E-04
0.0586,1.92E-04
0.0588,1.93E-04
0.059,1.93E-04
0.0592,1.94E-04
0.0594,1.95E-04
0.0596,1.95E-04
0.0598,1.96E-04
0.06,1.97E-04
0.0602,1.97E-04
0.0604,1.98E-04
0.0606,1.98E-04
0.0608,1.99E-04
0.061,2.00E-04
0.0612,2.00E-04
0.0614,2.01E-04
0.0616,2.01E-04
0.0618,2.02E-04
0.062,2.03E-04
0.0622,2.03E-04
0.0624,2.04E-04
0.0626,2.04E-04
0.0628,2.05E-04
0.063,2.05E-04
0.0632,2.06E-04
0.0634,2.07E-04
0.0636,2.07E-04
0.0638,2.08E-04
0.064,2.08E-04
0.0642,2.09E-04
0.0644,2.10E-04
0.0646,2.10E-04
0.0648,2.11E-04
0.065,2.11E-04
0.0652,2.12E-04
0.0654,2.12E-04
0.0656,2.13E-04
0.0658,2.14E-04
0.066,2.14E-04
0.0662,2.15E-04
0.0664,2.15E-04
0.0666,2.16E-04
0.0668,2.16E-04
0.067,2.17E-04
0.0672,2.18E-04
0.0674,2.18E-04
0.0676,2.19E-04
0.0678,2.19E-04
0.068,2.20E-04
0.0682,2.20E-04
0.0684,2.21E-04
0.0686,2.21E-04
0.0688,2.22E-04
0.069,2.23E-04
0.0692,2.23E-04
0.0694,2.24E-04
0.0696,2.24E-04
0.0698,2.25E-04
0.07,2.25E-04
0.0702,2.26E-04
0.0704,2.26E-04
0.0706,2.27E-04
0.0708,2.27E-04
0.071,2.28E-04
0.0712,2.28E-04
0.0714,2.29E-04
0.0716,2.29E-04
0.0718,2.30E-04
0.072,2.30E-04
0.0722,2.31E-04
0.0724,2.31E-04
0.0726,2.32E-04
0.0728,2.32E-04
