Time,Flowrate
0.0000,1.50823835e-05
0.0057,1.89707505e-05
0.0113,2.40103325e-05
0.0170,3.03135640e-05
0.0227,3.78567399e-05
0.0284,4.66073924e-05
0.0340,5.64267279e-05
0.0397,6.72133278e-05
0.0454,7.86498469e-05
0.0510,9.04417652e-05
0.0567,1.02356460e-04
0.0624,1.13959952e-04
0.0681,1.24944336e-04
0.0737,1.34968964e-04
0.0794,1.43839127e-04
0.0851,1.51265117e-04
0.0907,1.57116693e-04
0.0964,1.61374520e-04
0.1021,1.64010259e-04
0.1078,1.65127435e-04
0.1134,1.64879076e-04
0.1191,1.63461383e-04
0.1248,1.61107524e-04
0.1304,1.58064754e-04
0.1361,1.54540694e-04
0.1418,1.50767331e-04
0.1474,1.46916829e-04
0.1531,1.43083697e-04
0.1588,1.39373858e-04
0.1645,1.35806932e-04
0.1701,1.32381807e-04
0.1758,1.29032772e-04
0.1815,1.25730662e-04
0.1871,1.22415943e-04
0.1928,1.19012068e-04
0.1985,1.15512776e-04
0.2042,1.11902092e-04
0.2098,1.08209061e-04
0.2155,1.04449227e-04
0.2212,1.00714590e-04
0.2268,9.70776214e-05
0.2325,9.35817488e-05
0.2382,9.03141442e-05
0.2439,8.73013602e-05
0.2495,8.45554370e-05
0.2552,8.20248294e-05
0.2609,7.96642611e-05
0.2665,7.73743606e-05
0.2722,7.50151557e-05
0.2779,7.24695832e-05
0.2836,6.95976452e-05
0.2892,6.62889968e-05
0.2949,6.24266381e-05
0.3006,5.79858934e-05
0.3062,5.29679029e-05
0.3119,4.73810262e-05
0.3176,4.13635985e-05
0.3233,3.50460244e-05
0.3289,2.86241370e-05
0.3346,2.22497310e-05
0.3403,1.61829204e-05
0.3459,1.06239793e-05
0.3516,5.71125570e-06
0.3573,1.63429888e-06
0.3630,1.51784790e-06
0.3686,3.68583371e-06
0.3743,4.88206241e-06
0.3800,5.13567933e-06
0.3856,4.54104853e-06
0.3913,3.21345850e-06
0.3970,1.30245886e-06
0.4027,1.03797523e-06
0.4083,3.64423233e-06
0.4140,6.38895456e-06
0.4197,9.12024019e-06
0.4253,1.17289346e-05
0.4310,1.41508133e-05
0.4367,1.63065890e-05
0.4423,1.81627402e-05
0.4480,1.97180667e-05
0.4537,2.09589385e-05
0.4594,2.19017004e-05
0.4650,2.25628804e-05
0.4707,2.29681602e-05
0.4764,2.31333576e-05
0.4820,2.30790602e-05
0.4877,2.28208895e-05
0.4934,2.23738088e-05
0.4991,2.17510141e-05
0.5047,2.09687008e-05
0.5104,2.00369255e-05
0.5161,1.89818470e-05
0.5217,1.78285566e-05
0.5274,1.65964527e-05
0.5331,1.53267336e-05
0.5388,1.40507524e-05
0.5444,1.28064866e-05
0.5501,1.16172066e-05
0.5558,1.05214144e-05
0.5614,9.54114636e-06
0.5671,8.68400177e-06
0.5728,7.96400295e-06
0.5785,7.37641177e-06
0.5841,6.91197565e-06
0.5898,6.54992315e-06
0.5955,6.27142983e-06
0.6011,6.05080625e-06
0.6068,5.86093738e-06
0.6125,5.67995046e-06
0.6182,5.48770489e-06
0.6238,5.27064729e-06
0.6295,5.01931658e-06
0.6352,4.73432892e-06
0.6408,4.42107829e-06
0.6465,4.08752282e-06
0.6522,3.75046119e-06
0.6579,3.42564502e-06
0.6635,3.13094131e-06
0.6692,2.88015419e-06
0.6749,2.68925684e-06
0.6805,2.56823558e-06
0.6862,2.52297518e-06
0.6919,2.55737814e-06
0.6976,2.67087628e-06
0.7032,2.85999725e-06
0.7089,3.12143179e-06
0.7146,3.44755038e-06
0.7202,3.83108809e-06
0.7259,4.26783263e-06
0.7316,4.74681692e-06
0.7372,5.25866598e-06
0.7429,5.79651065e-06
0.7486,6.34285431e-06
0.7543,6.88242797e-06
0.7599,7.39407942e-06
0.7656,7.85930582e-06
0.7713,8.25058614e-06
0.7769,8.54632641e-06
0.7826,8.73139780e-06
0.7883,8.79541928e-06
0.7940,8.74480364e-06
0.7996,8.60424979e-06
0.8053,8.41967014e-06
0.8110,8.26516092e-06
0.8166,8.24024627e-06
0.8223,8.47071259e-06
0.8280,9.10455204e-06
0.8337,1.03053079e-05
0.8393,1.22376312e-05
0.8450,1.50823835e-05
