# Aortic Flow Rate Waveform for 1-Year-Old Infant
# ================================================
# Physiological Parameters:
#   - Age: ~1 year old
#   - Body weight: ~10 kg (estimated from inlet diameter)
#   - Heart rate: 120 bpm (typical for 1-year-old)
#   - Cardiac cycle: 0.5 s (T = 60/120)
#   - Cardiac output: ~1.0 L/min (100 ml/min/kg × 10 kg)
#   - Mean flow: 16.67 ml/s = 1.667e-05 m³/s
#   - Stroke volume: ~8.3 ml (CO / HR = 1000 ml/min / 120 bpm)
#
# Waveform Characteristics:
#   - Systolic phase: ~40% of cycle (0.2 s)
#   - Diastolic phase: ~60% of cycle (0.3 s)
#   - Peak/mean ratio: ~3.0 (typical for aortic flow)
#   - Peak flow: ~3.0 L/min
#   - Minimal backflow during valve closure
#
# Reference:
#   - Physoc: "Cardiac output diversity - are children just small adults?"
#   - PMC5895966: "Neonatal Hemodynamics: From Developmental Physiology"
#   - Typical infant aortic flow waveforms from echocardiography
#
# Units: time (s), flowrate (L/min)
# To convert: L/min → m³/s: multiply by 1.667e-05
#
time,flowrate
0.000,0.25
0.010,0.50
0.020,1.00
0.030,1.60
0.040,2.20
0.050,2.70
0.060,3.00
0.070,3.20
0.080,3.30
0.090,3.30
0.100,3.20
0.110,3.00
0.120,2.70
0.130,2.35
0.140,2.00
0.150,1.65
0.160,1.30
0.170,1.00
0.180,0.70
0.190,0.45
0.200,0.25
0.210,0.10
0.220,0.00
0.230,-0.05
0.240,-0.05
0.250,0.00
0.260,0.10
0.270,0.18
0.280,0.25
0.290,0.30
0.300,0.32
0.310,0.33
0.320,0.33
0.330,0.32
0.340,0.30
0.350,0.28
0.360,0.26
0.370,0.24
0.380,0.22
0.390,0.20
0.400,0.18
0.410,0.16
0.420,0.15
0.430,0.14
0.440,0.14
0.450,0.14
0.460,0.15
0.470,0.17
0.480,0.19
0.490,0.22
0.500,0.25
