# Aortic flow rate waveform template
# Replace with patient-specific or literature-derived waveform data.
#
# Units: time (s), flowrate (L/min)
# One cardiac cycle. AortaCFD repeats this waveform for multi-cycle runs.
#
# The first and last flowrate values should match for a smooth periodic signal.
# Negative values represent backflow (e.g. during valve closure).
#
time,flowrate
0.000,0.50
0.040,1.50
0.080,4.00
0.120,6.50
0.160,8.00
0.200,7.50
0.240,5.50
0.280,3.50
0.320,1.50
0.360,0.20
0.400,-0.30
0.440,-0.20
0.480,0.10
0.520,0.40
0.560,0.50
0.600,0.55
0.640,0.55
0.680,0.52
0.720,0.50
0.760,0.50
0.800,0.50
